AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,Pollution_Complexity_Score,Country_Code,City,Country
-0.2499529338319401,-0.20107110354971805,-0.25602097445506605,-0.3927170060713926,-0.1919828748926094,-0.28269521025784655,1.5615286933042605,Soc Trang,Viet Nam
-0.41051232075367183,-0.746915289895551,-0.3272001021509557,-0.5830483105713736,-0.3562306121252546,-0.46512299295776177,1.2502073195760028,Nong Khai,Thailand
-0.33915259323290214,-0.20107110354971805,-0.14925228291123166,0.7492708209284938,-0.2832316177996345,-0.2265635848117188,1.46424076401418,North Charleston,United States of America
-0.8386706858782897,-0.20107110354971805,-1.1457600706536863,-0.3927170060713926,-0.7942245780789751,-1.096603779226699,-1.3376515995401383,Nova Olimpia,Brazil
-0.374832456993287,-0.20107110354971805,-0.18484184675917645,-0.5830483105713736,-0.31973111496244455,-0.36689264842703817,0.7637676731256005,Novaya Lyalya,Russian Federation
-0.6067515714357884,-0.20107110354971805,0.09987466402438201,-0.3927170060713926,-1.0314713096372403,-0.7878798392729963,0.7637676731256005,Novoshakhtinsk,Russian Federation
0.0176460443709461,0.8906172691419478,-0.6119166129345142,-0.20238570157141153,0.08176335382846589,-0.17043195936559102,1.0361738751378258,Nylstroom,South Africa
-0.3569925251130946,-0.20107110354971805,-0.29161053830301087,-0.012054397071430436,-0.30148136638103956,-0.35285974206550624,-0.6371785086515588,Offenbach,Germany
-0.7494710264773277,-0.20107110354971805,-0.18484184675917645,-0.012054397071430436,-0.721225583753355,-0.6335178692961451,1.4253255922981478,Oldham,United Kingdom of Great Britain and Northern Ireland
0.5171641370163337,0.34477308279611485,-0.29161053830301087,1.129933429928456,0.5927563141078065,0.43298301418028234,-0.30639954906528505,Soliera,Italy
-0.6424314351961732,-0.20107110354971805,0.028695536328492397,-0.5830483105713736,-0.77597482949757,-0.6335178692961451,-0.9095847106637841,Solrod,Denmark
-0.5175519120348263,-0.20107110354971805,0.24223291941616126,-0.3927170060713926,-0.4657291036136847,-0.2967281166193785,-0.30639954906528505,Sora,Italy
-0.3569925251130946,-0.20107110354971805,-0.6830957406304038,-0.5830483105713736,-0.30148136638103956,-0.5493204311269534,-1.3376515995401383,Soure,Brazil
-0.19643313819136285,-0.20107110354971805,-0.3983792298468453,0.9396021254284749,-0.13723362914839435,-0.1984977720886549,1.46424076401418,South Daytona,United States of America
-0.48187204827444147,-0.20107110354971805,0.34900161095999566,0.17827690742855065,-0.6299768408463299,-0.3388268357039743,1.46424076401418,South Euclid,United States of America
-0.678111298956558,-0.20107110354971805,-0.07807315521534203,-0.5830483105713736,-0.6299768408463299,-0.5633533374884854,0.7637676731256005,Sovetsk,Russian Federation
1.837319096150572,4.711526573562779,-0.647506176782459,1.8912586479283804,1.943237709131778,1.4994838976567098,1.0361738751378258,Stilfontein,South Africa
0.49932420513614123,0.34477308279611485,1.3099198348545056,-0.3927170060713926,0.5745065655264014,0.9381676431954322,-1.1236181551019613,Suihua,China
-0.03587375126963114,-0.20107110354971805,-0.25602097445506605,-0.5830483105713736,0.027014108084250834,-0.12833324028099521,-0.42314506421338166,Sulurpeta,India
-0.2499529338319401,0.34477308279611485,-0.7542748683262934,-0.3927170060713926,-0.1919828748926094,-0.46512299295776177,-1.687888144984428,Sumbe,Angola
-0.6602713670763656,-0.746915289895551,-0.006894027519452412,-0.3927170060713926,-0.8124743266603801,-0.6756165883807409,0.4524462993973428,Jessheim,Norway
1.4091607310259544,-0.746915289895551,-0.18484184675917645,-0.5830483105713736,1.5052437431780574,1.022365081364624,-0.42314506421338166,Jetalsar,India
0.46364434137575644,1.4364614554877808,-0.14925228291123166,1.510596038928418,0.5380070683635914,0.5031475459879421,-1.1236181551019613,Jiupu,China
-0.23211300195174767,-0.20107110354971805,-0.25602097445506605,-0.3927170060713926,-0.17373312631120438,-0.2686623038963146,-0.40368747835536556,Jogonalan,Indonesia
